식당(ID),식당명,지점명,지역명,네이버평점
147933,럭키분식,,강화군,4.47
147937,미선식당민박,,강화군,
147940,토박이식당,,강화군,4.51
147943,푸른솔가든,,강화군,4.28
147957,강화국밥,,강화군,4.32
147960,만물닭강정,2호점,강화군,4.41
147963,월곳황토집,,강화군,4.64
147978,용진참숯장어구이,,강화군,4.39
147982,영골마을,,강화군,4.71
147989,은빛 비치는 들,,강화군,4.25
147992,용내천식당,,강화군,
147995,황포돛배,,강화군,4.25
147997,개성식당,,강화군,
148001,항구횟집,,강화군,4.67
148004,도해촌,,강화군,
148007,유천횟집,,강화군,4.53
148011,춘하추동,,강화군,4.4
148016,까사미아썬셋,,강화군,4
148018,남문바지락칼국수,,강화군,4.26
148021,진고개돈가스,,강화군,4.41
148025,콕스치킨,,강화군,4.33
148029,장수마을,,강화군,4.55
148040,치마바위,,강화군,4.38
148042,삼송농원,,강화군,5
148046,낙조회집,,강화군,
148049,강화요트캠핑클럽,,강화군,
148052,두운농원,,강화군,4.47
148055,마루뜰,,강화군,4.3
148058,방주농원,,강화군,4
148062,진달래,,강화군,
148066,백송식당,,강화군,4.11
148071,피자마루,인천강화점,강화군,4.37
148074,사오정,,강화군,
148077,우미각,,강화군,
148079,바이섬마차,,강화군,4.29
148083,초지한탄강,,강화군,4.28
148090,오두돈대숯불장어,,강화군,4.54
148095,삼보식당,,강화군,4.16
148100,석모도회센터,,강화군,4.41
148106,옛날손짜장,,강화군,4.44
148109,한나네,,강화군,4.54
148111,전&막걸리,본점,강화군,4.25
148115,해동식당,,강화군,3.36
148119,강화섬맛집,,강화군,4.25
148122,클리프,,강화군,4.4
148127,섬마을,,강화군,4.44
148131,토가,,강화군,4.33
148140,회사랑,,강화군,4.1
148143,산해진미,,강화군,
148152,김밥천국,강화점,강화군,4.07
148165,초원식당,,강화군,4.24
148168,진가객잔,,강화군,4.34
148170,황가네호떡,,강화군,4.5
148174,롯데리아,인천강화점,강화군,4.27
148182,바리스타비,인천강화점,강화군,4.22
148186,굽네치킨,강화점,강화군,4.28
148189,광성오리,,강화군,4.67
148200,이레가든,,강화군,4.17
148204,한마당생고기,,강화군,4.58
148207,강화꽃게전문,,강화군,3.75
148210,강화손칼국수,본점,강화군,4.32
148215,동화촌오리구이,,강화군,4.59
148219,갯벌,,강화군,4.42
148224,감나무골,,강화군,4.3
148227,연리지 카페,,강화군,
